time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
11.0,5,12111.11,5375.31,193.25,12.88
11.0,6,11087.93,5858.78,146.14,14.19
11.0,7,11979.43,5412.8,150.67,4.59
11.0,8,12119.69,5427.76,253.97,8.49
11.0,9,10867.76,5754.26,130.95,4.27
12.0,0,11774.88,5451.59,269.38,7.3
12.0,1,10792.9,5434.78,70.08,7.68
12.0,2,12157.04,5033.85,352.92,10.5
12.0,3,11346.87,5060.81,230.19,3.86
12.0,4,10650.02,4977.58,246.11,7.23
12.0,5,12107.63,5360.53,193.25,15.18
12.0,6,11095.83,5847.0,146.14,14.18
12.0,7,11981.24,5407.77,161.09,5.43
12.0,8,12109.79,5429.6,284.14,10.15
12.0,9,10868.67,5749.57,168.74,4.79
13.0,0,11765.24,5451.49,269.38,9.64
13.0,1,10801.5,5437.9,70.08,9.15
13.0,2,12155.54,5045.93,352.92,12.18
13.0,3,11343.24,5056.98,223.03,5.29
13.0,4,10649.08,4975.08,219.29,3.1
13.0,5,12104.39,5346.75,193.25,14.16
13.0,6,11103.58,5835.44,146.14,13.92
13.0,7,11978.98,5403.6,208.42,4.99
13.0,8,12100.76,5431.88,284.14,9.31
13.0,9,10869.62,5743.41,171.24,6.23
14.0,0,11754.28,5451.37,269.38,10.96
14.0,1,10812.45,5441.82,70.58,11.63
14.0,2,12153.88,5059.28,352.89,13.45
14.0,3,11343.49,5049.53,165.61,7.89
14.0,4,10651.78,4974.86,129.67,2.92
14.0,5,12102.18,5337.35,193.25,9.66
14.0,6,11108.4,5824.5,167.22,12.17
14.0,7,11977.66,5402.63,223.1,0.0
14.0,8,12095.71,5433.15,284.14,5.21
14.0,9,10870.82,5735.6,171.24,7.91
15.0,0,11743.01,5454.4,306.57,12.35
15.0,1,10823.76,5445.7,71.06,11.97
15.0,2,12152.59,5069.63,352.89,10.43
15.0,3,11348.46,5042.91,140.85,8.3
15.0,4,10655.82,4976.65,66.11,4.42
15.0,5,12100.96,5332.17,193.25,5.33
15.0,6,11106.62,5812.63,192.69,12.05
15.0,7,11975.85,5401.84,237.19,1.98
15.0,8,12091.13,5435.31,295.53,5.14
15.0,9,10871.94,5728.37,171.22,0.0
16.0,0,11738.18,5464.99,335.51,11.64
16.0,1,10836.06,5449.69,72.03,12.92
16.0,2,12151.77,5076.14,352.89,6.56
16.0,3,11350.86,5039.96,140.85,3.8
16.0,4,10661.21,4979.04,66.11,5.9
16.0,5,12099.4,5325.55,193.18,6.8
16.0,6,11103.41,5799.58,193.79,13.43
16.0,7,11971.52,5402.55,275.85,4.47
16.0,8,12089.84,5440.88,353.04,6.02
16.0,9,10872.38,5726.75,169.06,1.68
17.0,0,11736.17,5471.81,347.07,7.19
17.0,1,10843.79,5452.2,72.03,8.12
17.0,2,12150.33,5077.97,337.88,2.49
17.0,3,11353.26,5035.41,152.86,5.26
17.0,4,10668.31,4982.18,66.11,7.76
17.0,5,12097.45,5317.19,193.17,8.59
17.0,6,11100.42,5787.4,193.79,12.54
17.0,7,11966.77,5405.87,305.47,5.81
17.0,8,12091.22,5448.74,9.95,7.98
17.0,9,10873.27,5723.46,164.82,3.41
18.0,0,11740.69,5475.84,58.79,6.6
18.0,1,10852.91,5455.36,70.03,9.66
18.0,2,12148.62,5075.63,244.0,3.48
18.0,3,11349.93,5030.21,220.14,6.51
18.0,4,10677.46,4986.23,66.11,10.01
18.0,5,12095.75,5309.91,193.09,0.0
18.0,6,11098.51,5779.59,193.79,8.04
18.0,7,11960.99,5410.25,307.14,7.25
18.0,8,12092.99,5458.83,9.95,10.24
18.0,9,10876.26,5719.18,143.89,5.3
19.0,0,11749.48,5478.38,73.86,9.15
19.0,1,10863.65,5460.13,64.64,11.75
