time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
12.0,5,215.05,198.33,71.53,3.84
12.0,6,273.12,70.15,150.0,13.88
12.0,7,105.33,32.72,1.62,4.59
12.0,8,288.73,246.12,338.7,5.07
12.0,9,185.98,397.9,255.0,11.42
13.0,0,333.54,58.07,45.0,14.64
13.0,1,339.26,278.56,60.0,11.86
13.0,2,352.86,113.59,300.0,8.86
13.0,3,152.31,385.56,75.0,14.48
13.0,4,201.6,229.87,0.0,8.19
13.0,5,219.59,198.4,88.75,4.54
13.0,6,280.38,57.58,150.0,14.52
13.0,7,107.92,37.31,29.84,5.27
13.0,8,283.34,248.88,290.81,6.46
13.0,9,175.53,395.1,255.0,10.82
14.0,0,343.77,68.3,45.0,14.47
14.0,1,350.12,284.82,60.0,12.53
14.0,2,343.01,119.28,300.0,11.37
14.0,3,165.84,389.19,75.0,14.0
14.0,4,201.6,240.04,0.0,10.18
14.0,5,226.34,198.4,90.0,6.75
14.0,6,286.76,46.54,150.0,12.75
14.0,7,111.22,43.02,30.0,6.59
14.0,8,277.58,246.64,246.02,6.26
14.0,9,164.44,392.13,255.0,11.48
15.0,0,353.91,78.44,45.0,14.33
15.0,1,359.51,290.24,60.0,10.84
15.0,2,331.6,125.87,300.0,13.17
15.0,3,179.52,392.86,75.0,14.16
15.0,4,201.6,251.67,0.0,11.63
15.0,5,235.1,198.4,90.0,8.76
15.0,6,290.98,39.22,150.0,8.45
15.0,7,115.45,50.36,30.0,8.47
15.0,8,270.61,242.61,240.0,8.05
15.0,9,153.09,389.09,255.0,11.75
16.0,0,363.44,87.97,45.0,13.49
16.0,1,365.0,293.41,60.0,6.34
16.0,2,320.34,132.37,300.0,13.01
16.0,3,193.22,396.48,75.55,14.18
16.0,4,201.6,265.77,0.0,14.1
16.0,5,246.45,198.4,90.0,11.35
16.0,6,293.26,35.28,150.0,4.55
16.0,7,120.7,59.45,30.0,10.5
16.0,8,261.81,237.53,240.0,10.16
16.0,9,142.2,386.17,255.0,11.27
17.0,0,372.92,98.83,35.75,14.46
17.0,1,369.78,296.77,54.05,5.86
17.0,2,309.17,138.82,300.0,12.89
17.0,3,207.23,396.39,98.93,14.14
17.0,4,201.6,280.03,0.0,14.26
17.0,5,257.57,198.4,90.0,11.12
17.0,6,295.44,30.0,158.79,5.81
17.0,7,126.4,69.31,30.0,11.39
17.0,8,251.79,231.75,240.0,11.58
17.0,9,131.55,383.32,255.0,11.03
18.0,0,378.06,111.91,15.38,14.13
18.0,1,371.3,302.76,6.7,6.64
18.0,2,297.09,145.79,300.0,13.95
18.0,3,221.18,392.67,105.0,14.44
18.0,4,201.6,289.79,0.0,9.76
18.0,5,268.45,198.4,90.0,10.88
18.0,6,291.64,26.22,231.99,5.87
18.0,7,132.39,79.7,30.0,12.0
18.0,8,240.76,225.38,240.0,12.73
18.0,9,121.17,380.54,255.0,10.74
19.0,0,381.54,124.93,15.0,13.48
19.0,1,367.77,307.7,321.29,6.15
19.0,2,285.69,152.38,300.0,13.17
19.0,3,235.2,388.91,105.0,14.52
19.0,4,202.54,295.23,11.14,5.65
19.0,5,279.69,198.4,90.0,11.24
19.0,6,284.5,24.3,255.0,7.39
19.0,7,138.33,89.99,30.0,11.88
19.0,8,230.48,219.45,240.0,11.87
19.0,9,110.26,377.62,255.0,11.3
20.0,0,385.07,138.09,15.0,13.63
20.0,1,361.73,313.74,315.0,8.54
20.0,2,274.27,158.97,300.0,13.18
20.0,3,249.71,385.02,105.0,15.02
20.0,4,208.13,296.16,88.92,6.15
20.0,5,289.4,198.4,90.0,9.71
20.0,6,275.35,21.85,255.0,9.48
20.0,7,144.31,100.35,30.0,11.96
20.0,8,220.31,213.57,240.0,11.75
20.0,9,99.57,373.4,243.33,11.53
21.0,0,388.59,151.21,15.0,13.58
21.0,1,354.74,320.73,315.0,9.89
21.0,2,262.23,165.92,300.0,13.91
21.0,3,263.04,381.45,105.0,13.8
21.0,4,215.68,294.14,105.01,7.82
21.0,5,295.67,198.95,83.66,6.31
21.0,6,264.87,19.04,255.0,10.84
21.0,7,148.04,106.81,30.0,7.46
21.0,8,213.11,209.42,240.0,8.31
21.0,9,91.07,366.54,226.94,10.97
22.0,0,392.38,165.38,15.0,14.67
22.0,1,346.49,328.98,315.0,11.67
22.0,2,251.1,172.35,300.0,12.86
22.0,3,277.17,377.66,105.0,14.64
22.0,4,225.06,291.63,105.01,9.71
22.0,5,299.32,202.19,47.37,5.16
22.0,6,252.75,15.79,255.0,12.55
22.0,7,153.21,110.11,63.0,6.43
22.0,8,211.7,204.83,196.64,5.05
22.0,9,82.96,358.43,225.0,11.46
23.0,0,396.05,179.08,15.0,14.18
23.0,1,337.63,337.84,315.0,12.53
23.0,2,239.99,178.76,300.0,12.83
23.0,3,291.38,373.85,105.0,14.71
23.0,4,234.2,289.18,105.01,9.46
23.0,5,299.54,207.41,1.15,5.35
23.0,6,239.71,12.3,255.0,13.5
23.0,7,159.67,109.15,101.82,6.59
23.0,8,213.39,199.93,160.21,5.26
23.0,9,75.23,350.7,225.0,10.94
24.0,0,399.7,193.15,13.65,14.54
24.0,1,329.18,346.29,315.0,11.95
24.0,2,228.38,185.46,300.0,13.4
24.0,3,303.63,367.19,127.29,14.08
24.0,4,238.99,287.89,105.01,4.96
24.0,5,298.28,212.62,345.88,5.36
24.0,6,226.84,8.85,255.0,13.33
24.0,7,168.46,106.8,105.01,9.1
24.0,8,218.17,198.4,106.66,5.22
24.0,9,67.72,343.19,225.0,10.62
25.0,0,399.74,206.62,353.48,13.56
25.0,1,320.0,355.47,315.0,12.99
25.0,2,216.86,192.11,300.0,13.31
25.0,3,313.5,357.45,135.0,13.87
25.0,4,246.28,286.57,97.98,7.44
25.0,5,296.37,219.71,344.99,7.34
25.0,6,215.66,5.85,255.0,11.58
25.0,7,179.32,103.88,105.01,11.25
25.0,8,225.69,198.4,90.0,7.52
25.0,9,59.47,334.94,225.0,11.67
26.0,0,396.3,219.98,345.0,13.8
26.0,1,311.69,363.78,315.0,11.74
26.0,2,204.72,196.93,287.29,13.1
26.0,3,324.02,346.93,135.0,14.87
26.0,4,253.75,290.33,51.34,8.73
26.0,5,293.97,228.67,344.99,9.27
26.0,6,208.51,3.94,255.0,7.4
26.0,7,186.45,101.97,105.01,7.38
26.0,8,235.7,198.4,90.0,10.01
26.0,9,51.5,326.97,225.0,11.28
27.0,0,392.77,233.18,345.0,13.67
27.0,1,302.09,372.32,307.37,12.89
27.0,2,191.47,200.39,283.55,13.7
27.0,3,334.23,336.72,135.0,14.44
27.0,4,258.2,297.61,30.0,8.55
27.0,5,291.68,237.23,344.99,8.87
27.0,6,203.06,4.02,272.9,5.63
27.0,7,190.98,100.76,105.01,4.7
27.0,8,247.22,198.4,90.0,11.53
27.0,9,43.24,318.71,225.0,11.68
28.0,0,388.98,247.33,345.0,14.65
28.0,1,291.44,377.16,288.58,11.75
28.0,2,178.31,201.6,270.0,13.26
28.0,3,344.66,326.29,135.0,14.75
28.0,4,263.75,307.22,30.0,11.1
28.0,5,290.55,241.45,344.99,4.37
28.0,6,201.6,9.3,347.03,5.64
28.0,7,197.13,99.76,98.28,6.24
28.0,8,259.72,198.4,90.0,12.5
28.0,9,35.42,310.89,225.0,11.06
29.0,0,385.42,260.6,345.0,13.73
29.0,1,279.63,380.32,285.0,12.23
29.0,2,165.09,201.6,270.0,13.22
29.0,3,354.65,316.3,135.0,14.13
29.0,4,270.41,318.75,30.0,13.31
29.0,5,287.94,247.06,332.8,6.27
29.0,6,201.6,16.28,0.0,6.99
29.0,7,205.25,100.01,85.5,8.14
29.0,8,272.5,198.4,90.0,12.77
29.0,9,27.7,302.12,217.42,11.72
30.0,0,381.8,274.12,345.0,14.0
30.0,1,268.21,383.38,285.0,11.83
30.0,2,151.68,201.6,270.0,13.41
30.0,3,362.21,308.74,135.0,10.7
30.0,4,277.47,330.98,30.0,14.13
30.0,5,282.41,248.77,281.65,6.17
30.0,6,201.6,25.33,0.0,9.04
30.0,7,215.68,102.55,74.99,10.74
30.0,8,283.28,198.4,90.0,10.79
30.0,9,23.01,292.09,199.96,11.12
31.0,0,378.18,287.63,345.0,13.99
31.0,1,255.76,386.72,285.0,12.89
31.0,2,138.52,201.6,270.0,13.16
31.0,3,366.55,304.31,135.7,6.2
31.0,4,284.4,342.99,30.0,13.87
31.0,5,277.03,246.32,244.99,5.92
31.0,6,201.6,35.97,0.0,10.64
31.0,7,227.26,105.65,74.99,11.99
31.0,8,291.35,198.4,90.0,8.06
31.0,9,20.1,281.23,195.0,11.24
32.0,0,372.88,301.23,331.61,14.66
32.0,1,243.38,390.03,285.0,12.82
32.0,2,125.2,201.6,270.0,13.33
32.0,3,367.58,299.35,171.25,5.57
32.0,4,290.6,353.72,30.0,12.38
32.0,5,270.57,242.59,240.0,7.46
32.0,6,201.6,48.47,0.0,12.5
32.0,7,235.78,107.93,74.99,8.82
32.0,8,296.05,196.79,109.54,5.17
32.0,9,17.07,269.9,195.0,11.73
33.0,0,364.05,311.42,315.0,13.54
33.0,1,231.45,393.23,285.0,12.35
33.0,2,111.58,201.6,270.0,13.62
33.0,3,362.9,295.9,236.43,5.89
33.0,4,294.65,360.74,30.0,8.11
33.0,5,261.86,237.56,240.0,10.05
33.0,6,201.6,62.93,0.0,14.46
33.0,7,240.72,109.26,74.99,5.11
33.0,8,296.2,192.01,177.91,4.93
33.0,9,14.2,259.19,195.0,11.09
34.0,0,354.26,321.21,315.0,13.84
34.0,1,219.96,396.31,285.0,11.9
34.0,2,97.7,201.6,270.0,13.88
34.0,3,355.88,291.85,240.0,8.11
34.0,4,296.66,364.22,30.0,4.02
34.0,5,252.42,232.11,240.0,10.91
34.0,6,201.6,76.61,0.0,13.68
34.0,7,247.22,111.54,69.03,6.9
34.0,8,294.41,185.33,195.01,6.91
34.0,9,11.32,248.45,195.0,11.12
35.0,0,344.15,331.32,315.0,14.3
35.0,1,207.41,399.6,284.16,12.98
35.0,2,84.47,201.6,270.0,13.23
35.0,3,346.69,286.54,240.0,10.62
35.0,4,300.01,367.9,42.62,5.1
35.0,5,242.95,226.65,240.0,10.92
35.0,6,201.6,90.31,0.0,13.7
35.0,7,255.02,116.43,54.59,9.24
35.0,8,292.05,176.53,195.01,9.12
35.0,9,8.43,237.64,195.0,11.2
36.0,0,334.16,341.31,315.0,14.12
36.0,1,194.62,399.97,265.32,12.86
36.0,2,70.58,201.6,270.0,13.89
36.0,3,335.46,280.05,240.0,12.96
36.0,4,305.31,365.64,120.68,6.19
36.0,5,233.61,221.25,240.0,10.79
36.0,6,201.6,104.11,0.0,13.8
36.0,7,262.71,123.84,45.0,10.69
36.0,8,289.6,167.37,195.01,9.49
36.0,9,5.37,226.24,195.0,11.8
37.0,0,324.57,350.9,315.0,13.56
37.0,1,182.73,397.03,255.0,12.26
37.0,2,57.29,201.6,270.0,13.3
37.0,3,322.71,272.69,240.0,14.72
37.0,4,310.81,360.14,135.0,7.78
37.0,5,223.68,215.52,240.0,11.46
37.0,6,201.6,118.47,0.0,14.35
37.0,7,271.09,132.22,45.0,11.84
37.0,8,288.02,161.48,195.01,6.1
37.0,9,2.72,216.34,195.0,10.25
38.0,0,314.18,361.29,315.0,14.69
38.0,1,170.49,393.75,255.0,12.67
38.0,2,43.55,201.6,270.0,13.74
38.0,3,309.91,265.31,240.0,14.77
38.0,4,317.84,353.11,135.0,9.95
38.0,5,214.06,209.97,240.0,11.11
38.0,6,201.6,132.7,0.0,14.23
38.0,7,277.39,138.52,45.0,8.92
38.0,8,286.55,154.32,189.95,7.32
38.0,9,0.69,208.77,195.0,7.84
39.0,0,306.97,368.5,315.0,10.19
39.0,1,158.64,390.58,255.0,12.27
39.0,2,30.02,201.6,270.0,13.53
39.0,3,297.57,258.18,240.0,14.25
39.0,4,326.59,344.36,135.0,12.38
39.0,5,205.86,203.64,229.66,10.41
39.0,6,201.6,146.01,0.0,13.31
39.0,7,281.03,142.16,45.0,5.14
39.0,8,288.68,147.59,157.43,7.21
39.0,9,0.25,203.4,183.74,5.46
40.0,0,302.2,371.41,300.46,5.69
40.0,1,146.14,387.23,255.0,12.94
40.0,2,19.43,201.6,270.0,10.59
40.0,3,285.62,251.28,240.0,13.8
40.0,4,336.51,334.44,135.0,14.03
40.0,5,200.26,194.33,202.31,10.98
40.0,6,201.6,159.6,0.0,13.59
40.0,7,284.74,147.47,32.13,6.59
40.0,8,295.0,143.31,121.51,7.66
40.0,9,4.1,198.98,133.49,6.21
41.0,0,296.19,369.04,235.83,7.02
41.0,1,133.95,383.96,255.0,12.62
41.0,2,12.44,201.6,270.0,7.0
41.0,3,272.75,243.84,240.0,14.88
41.0,4,345.83,325.12,135.0,13.18
41.0,5,198.41,184.11,186.57,10.45
41.0,6,201.6,173.56,0.0,13.97
41.0,7,283.59,152.91,343.9,5.89
41.0,8,303.76,138.25,120.0,10.12
41.0,9,10.18,198.4,94.88,6.12
42.0,0,292.01,362.57,210.0,7.71
42.0,1,121.68,380.67,255.0,12.71
42.0,2,7.5,201.7,271.11,4.95
42.0,3,260.23,236.62,240.0,14.45
42.0,4,355.58,315.37,135.0,13.79
42.0,5,198.4,173.61,180.0,10.5
42.0,6,201.5,184.79,358.8,11.24
42.0,7,279.14,156.16,305.96,5.52
42.0,8,313.85,132.42,120.0,11.65
42.0,9,18.36,198.4,90.0,8.17
43.0,0,287.27,354.36,210.0,9.48
43.0,1,110.7,377.73,255.0,11.37
43.0,2,3.42,204.73,310.25,5.62
43.0,3,247.96,229.54,240.0,14.16
43.0,4,365.35,305.6,135.0,13.82
43.0,5,198.4,162.13,180.0,11.49
43.0,6,198.35,195.3,332.76,11.18
43.0,7,272.26,160.13,300.0,7.94
43.0,8,324.58,126.23,120.0,12.39
43.0,9,28.57,198.4,90.0,10.21
44.0,0,281.3,344.01,210.0,11.95
44.0,1,104.22,375.47,249.21,6.87
44.0,2,4.2,209.5,8.69,4.88
44.0,3,235.69,222.46,240.0,14.17
44.0,4,372.92,294.21,155.23,13.79
44.0,5,198.4,150.98,180.0,11.15
44.0,6,189.63,200.8,291.33,10.74
44.0,7,264.03,164.88,300.0,9.51
44.0,8,335.08,120.17,120.0,12.13
44.0,9,40.13,198.4,90.0,11.56
45.0,0,274.34,331.96,210.0,13.91
45.0,1,101.11,369.72,199.13,7.05
45.0,2,5.95,216.03,15.0,6.76
45.0,3,222.98,215.11,240.0,14.69
45.0,4,376.68,280.82,165.0,13.92
45.0,5,198.4,140.13,180.0,10.84
45.0,6,178.72,201.6,270.0,10.97
45.0,7,253.74,170.82,300.0,11.87
45.0,8,345.33,114.25,120.0,11.84
45.0,9,51.7,198.4,90.0,11.57
46.0,0,267.06,319.35,210.0,14.56
46.0,1,103.8,363.43,154.6,6.9
46.0,2,8.29,224.75,15.0,9.03
46.0,3,209.9,208.11,245.44,14.86
46.0,4,380.38,267.01,165.0,14.29
46.0,5,198.4,129.47,180.0,10.66
46.0,6,166.16,201.6,270.0,12.55
46.0,7,244.03,176.42,300.0,11.21
46.0,8,354.99,108.67,120.0,11.16
46.0,9,63.5,198.4,90.0,11.81
47.0,0,260.29,307.62,210.0,13.54
47.0,1,108.34,355.57,150.0,9.08
47.0,2,11.12,235.3,15.0,10.92
47.0,3,196.11,203.9,255.15,14.43
47.0,4,383.77,254.4,165.0,13.06
47.0,5,198.4,118.19,180.0,11.29
47.0,6,152.03,201.6,270.0,14.13
47.0,7,234.41,181.98,300.0,11.11
47.0,8,361.62,104.84,120.0,7.66
47.0,9,75.34,198.4,90.0,11.84
48.0,0,254.54,297.66,210.0,11.5
48.0,1,113.57,346.5,150.0,10.47
48.0,2,14.59,248.28,15.0,13.44
48.0,3,181.68,201.6,265.74,14.66
48.0,4,387.39,240.89,165.0,13.99
48.0,5,198.4,107.05,180.0,11.13
48.0,6,138.25,201.6,270.0,13.78
48.0,7,224.4,187.76,300.0,11.56
48.0,8,367.08,102.0,116.9,6.17
48.0,9,86.3,198.4,90.0,10.96
49.0,0,250.76,291.7,213.31,7.08
49.0,1,119.49,336.26,150.0,11.83
49.0,2,18.0,261.0,15.0,13.17
49.0,3,167.06,201.6,270.0,14.62
49.0,4,391.0,227.42,165.0,13.95
49.0,5,198.4,95.71,180.0,11.35
49.0,6,123.84,201.6,270.0,14.41
49.0,7,213.86,193.84,300.0,12.17
49.0,8,373.03,101.65,88.57,6.25
49.0,9,92.83,198.4,90.0,6.52
50.0,0,243.17,290.15,271.32,8.16
50.0,1,125.73,325.45,150.0,12.48
50.0,2,21.42,273.74,15.0,13.19
50.0,3,152.73,201.6,270.0,14.33
50.0,4,394.38,214.81,165.0,13.05
50.0,5,198.4,84.95,180.0,10.76
50.0,6,112.75,201.6,270.0,11.09
50.0,7,203.28,199.95,300.01,12.22
50.0,8,376.83,107.39,26.92,7.06
50.0,9,98.04,196.54,112.36,5.7
51.0,0,235.32,292.19,285.01,8.11
51.0,1,132.04,314.51,150.0,12.63
51.0,2,24.92,286.8,15.0,13.53
51.0,3,138.7,201.6,270.0,14.03
51.0,4,397.19,201.94,171.61,13.2
51.0,5,198.4,73.75,180.0,11.2
51.0,6,106.07,201.3,266.54,6.7
51.0,7,193.46,205.62,300.01,11.33
51.0,8,378.54,113.72,15.0,6.56
51.0,9,100.64,191.43,154.57,5.79
52.0,0,225.21,294.9,285.01,10.47
52.0,1,138.31,303.66,150.0,12.53
52.0,2,29.4,299.08,25.98,13.12
52.0,3,125.38,201.6,270.0,13.32
52.0,4,395.25,188.45,194.4,13.71
52.0,5,198.4,63.31,180.0,10.44
52.0,6,101.37,199.28,245.99,5.25
52.0,7,183.18,211.56,300.0,11.87
52.0,8,380.88,122.46,15.0,9.05
52.0,9,102.59,184.15,164.99,7.54
53.0,0,216.45,297.25,285.01,9.06
53.0,1,143.73,294.27,150.0,10.84
53.0,2,38.33,309.28,45.0,13.6
53.0,3,115.25,201.6,270.0,10.13
53.0,4,391.83,175.7,195.0,13.21
53.0,5,198.4,52.32,180.0,10.99
53.0,6,100.54,191.91,177.57,7.7
53.0,7,172.93,217.48,300.0,11.84
53.0,8,383.85,133.55,15.0,11.48
53.0,9,105.04,175.03,164.99,9.44
54.0,0,211.21,298.65,285.01,5.43
54.0,1,147.29,289.05,144.54,6.34
54.0,2,48.1,319.05,45.0,13.81
54.0,3,109.0,201.6,270.0,6.26
54.0,4,388.25,162.34,195.0,13.83
54.0,5,198.4,41.54,180.0,10.78
54.0,6,102.41,184.84,164.99,7.32
54.0,7,162.58,223.45,300.0,11.95
54.0,8,386.94,145.07,15.0,11.93
54.0,9,107.63,165.36,164.99,10.01
55.0,0,204.21,300.17,281.0,7.16
55.0,1,154.88,286.64,97.81,8.26
55.0,2,57.56,328.51,45.0,13.38
55.0,3,103.96,203.19,289.25,5.49
55.0,4,384.68,149.0,195.0,13.8
